date,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
10-24,1.45,1.825,0.425,1.1,1.3,0.8625,0.2125,2.2125,2.4875,0.1125,0.675,1.3,1.1625,0.3,2.4625,0.2375,1.725,0.2375,7.9,1.57,3.43,0.23,1.2153846154,0.4642857143,4.7071428571,2.9714285714,1.6142857143,0.8571428571,0.0785714286,3.2714285714,0.2714285714,0.0642857143,3.5785714286,0.0714285714,0.0214285714,2.2857142857,1.3928571429,0.3642857143,0.7785714286,3.3785714286,0.1057142857,0.3885714286,1.6807142857,3.3031428571,0.0214285714,1.05,1.1625,7.9
10-25,1.45,2.4125,0.425,1.1125,1.3,0.925,0.8,2.2125,2.4875,0.1125,0.6875,1.3625,1.2125,0.3,2.6125,0.2375,1.725,0.2375,8.06,1.57,3.5,0.23,1.2153846154,0.4642857143,4.7428571429,2.9714285714,1.6428571429,0.8571428571,0.0692307692,3.2714285714,1.1714285714,0.0642857143,3.5785714286,0.0785714286,0.0214285714,2.3214285714,1.3928571429,0.3642857143,0.7785714286,3.4,0.1057142857,0.5535714286,1.6921428571,3.3171428571,0.0214285714,1.1785714286,1.2125,8.06
10-26,1.45,2.5375,0.425,1.575,1.3,0.9875,0.9375,2.2375,2.5,0.1125,1.0375,1.3875,2.25,0.3,2.625,0.2375,1.7875,0.2375,8.13,1.57,3.51,0.23,1.2230769231,0.4714285714,4.8142857143,3.1142857143,1.65,0.8571428571,0.0928571429,3.3071428571,1.2142857143,0.0642857143,3.5785714286,0.0928571429,0.1071428571,3.1357142857,1.4214285714,0.3642857143,0.7857142857,3.4071428571,0.1114285714,0.5971428571,2.0575,3.3477142857,0.0642857143,1.2428571429,1.3,8.13
10-27,1.475,2.575,0.425,1.6375,1.3125,1.725,0.9625,2.2625,2.5,0.1125,1.175,1.3875,2.7125,0.3125,2.8375,0.2375,1.975,0.2375,8.15,1.57,3.53,0.23,1.2230769231,0.4928571429,4.8357142857,3.2142857143,1.6571428571,0.8571428571,0.1,3.3071428571,1.2142857143,0.0642857143,3.5785714286,0.0928571429,0.1428571429,3.2357142857,1.4214285714,0.3785714286,0.7857142857,3.4071428571,0.1367857143,0.61,2.1475,3.3517142857,0.0642857143,1.2857142857,1.3875,8.15
10-28,1.475,2.625,0.4375,1.6625,1.3125,2.3375,1.125,2.2625,2.5,0.1125,1.4125,1.3875,2.8875,0.3125,3.5875,0.2375,2.2125,0.2375,9.59,1.91,3.53,0.23,1.2230769231,0.5571428571,4.85,3.2357142857,1.6571428571,0.8571428571,0.1,3.3214285714,1.2214285714,0.0642857143,3.5785714286,0.0928571429,0.1571428571,3.2428571429,1.4214285714,0.3785714286,0.7857142857,3.4071428571,0.1482142857,0.6485714286,2.3075,3.5397142857,0.0642857143,1.35,1.4125,9.59
10-29,1.4875,2.775,0.45,1.675,1.325,2.4375,1.4125,2.2625,2.5,0.1125,1.775,1.3875,2.8875,0.3125,3.6625,0.2375,2.325,0.25,10.04,2.21,3.53,0.23,1.2230769231,0.7928571429,4.85,3.2357142857,1.6571428571,1.45,0.1,3.3642857143,1.3142857143,0.0642857143,3.5785714286,0.1214285714,0.1571428571,3.2571428571,1.4214285714,0.3785714286,0.8571428571,3.4071428571,0.15,0.8185714286,2.3925,3.5397142857,0.0642857143,1.55,1.45,10.04
10-30,1.4875,3.2875,0.5875,1.675,1.325,2.7125,1.7875,2.2625,2.5125,0.1125,1.8375,1.3875,3.1375,0.3125,3.9125,0.2375,2.325,0.25,10.1,2.23,3.53,0.23,1.2230769231,0.8071428571,4.8571428571,3.2357142857,1.6571428571,1.65,0.1,3.4857142857,1.3142857143,0.0714285714,3.5785714286,0.1214285714,0.1571428571,3.2714285714,1.4214285714,0.3857142857,1.1142857143,3.4071428571,0.15,0.93,2.4375,3.5397142857,0.0714285714,1.6071428571,1.65,10.1
10-31,1.525,3.325,0.5875,1.7,1.3375,2.8875,2.9625,2.275,2.525,0.1125,1.95,1.3875,3.1625,0.3125,5.1,0.4125,2.35,0.3125,10.11,2.25,3.53,0.23,1.2230769231,0.8142857143,4.9142857143,3.2357142857,1.6571428571,1.6642857143,0.1,3.5142857143,1.3642857143,0.0714285714,3.5857142857,0.1214285714,0.1571428571,3.2714285714,1.4214285714,0.3928571429,1.1357142857,3.4071428571,0.15,0.9428571429,2.7425,3.5411428571,0.0714285714,1.6714285714,1.6571428571,10.11
11-01,1.725,3.8125,0.5875,1.7,1.35,2.9125,3.1875,2.275,2.525,0.125,2.4375,1.3875,3.175,0.3125,5.375,0.6,2.3625,0.4,10.13,2.25,3.54,0.24,1.2230769231,0.8142857143,4.9285714286,3.2357142857,1.6571428571,1.6642857143,0.1071428571,3.5142857143,1.4142857143,0.0785714286,3.5857142857,0.1428571429,0.1571428571,3.2714285714,1.4214285714,0.3928571429,1.1428571429,3.4071428571,0.1542857143,0.9457142857,2.7575,3.6310714286,0.0785714286,1.7357142857,1.6642857143,10.13
11-02,1.825,4.1125,0.5875,1.7,1.5,2.925,3.2,2.2875,2.5375,0.125,2.4625,1.4,3.2875,0.3125,5.45,0.6125,2.3625,0.4375,10.13,2.25,3.56,0.25,1.7230769231,0.8142857143,4.9285714286,3.2642857143,1.6571428571,1.6642857143,0.55,3.5142857143,1.4285714286,0.0785714286,3.6071428571,0.1428571429,0.1571428571,3.2714285714,1.4214285714,0.3928571429,1.1785714286,3.4071428571,0.2314285714,0.96,2.77,3.7082142857,0.0785714286,1.8285714286,1.7,10.13
11-03,1.8625,4.9125,0.5875,1.7,1.625,2.925,3.275,2.2875,3.0625,0.1625,2.5,1.4125,3.375,0.3125,5.45,0.6125,2.375,0.55,10.18,2.25,3.57,0.25,2.2076923077,0.8142857143,4.9357142857,3.2714285714,1.6571428571,1.6642857143,0.8642857143,3.6,1.4428571429,0.0785714286,3.6142857143,0.1428571429,0.1857142857,3.2714285714,1.7642857143,0.3928571429,1.2785714286,3.4142857143,0.2371428571,1.03,3.0075,3.8739285714,0.0785714286,1.8928571429,1.7642857143,10.18
11-04,1.8625,5.0375,0.6,1.7,1.6375,2.925,3.3125,2.3,3.2625,0.1875,2.7,1.425,3.375,0.3125,5.45,0.6125,2.3875,0.6875,10.21,2.25,3.57,0.25,2.2692307692,0.8142857143,4.9357142857,3.2714285714,1.6571428571,1.6785714286,0.8642857143,3.8428571429,1.45,0.0785714286,3.6142857143,0.1428571429,0.1857142857,3.2714285714,1.9928571429,0.3928571429,1.3714285714,3.4142857143,0.2375,1.0671428571,3.1275,4.0614285714,0.0785714286,1.9285714286,1.8625,10.21
11-05,1.8625,5.2,0.6,1.7125,1.65,2.925,3.325,2.3,3.275,0.1875,2.7125,1.425,3.375,0.3125,5.45,0.6125,2.3875,0.7125,10.21,2.25,3.57,0.26,2.4,0.8142857143,4.9357142857,3.6285714286,1.6571428571,1.7071428571,0.8642857143,4.1857142857,1.45,0.0857142857,3.6142857143,0.1428571429,0.1857142857,3.2714285714,2.0214285714,0.3928571429,1.4,3.4285714286,0.2455,1.0785714286,3.1328571429,4.3357142857,0.0857142857,1.9285714286,1.8625,10.21
11-06,1.875,5.9,0.6,1.7125,1.775,2.925,3.325,2.35,3.2875,0.1875,2.725,1.425,3.3875,0.3125,5.45,0.6125,2.4125,0.725,10.21,2.25,3.57,0.26,2.4076923077,0.8142857143,4.95,3.6928571429,1.6571428571,1.7214285714,0.8642857143,4.2142857143,1.4642857143,0.0857142857,3.6142857143,0.1428571429,0.1857142857,3.2714285714,2.05,0.3928571429,1.4214285714,3.4285714286,0.2455,1.0871428571,3.1328571429,4.3614285714,0.0857142857,1.9357142857,1.875,10.21
11-07,1.9,6.5875,0.6,1.725,1.8,2.925,3.3375,2.3875,3.3,0.1875,2.7375,1.425,3.425,0.3125,5.4875,0.6125,2.425,0.75,10.21,2.25,3.57,0.26,2.4384615385,0.8142857143,5.0428571429,3.9285714286,1.6571428571,1.7357142857,0.8642857143,4.2142857143,1.4785714286,0.1,3.6142857143,0.1714285714,0.2214285714,3.2714285714,2.0714285714,0.3928571429,1.4285714286,3.4285714286,0.2522857143,1.0885714286,3.1328571429,4.38,0.1,1.9642857143,1.9,10.21
11-08,1.9125,6.6625,0.6125,1.725,1.825,2.9375,3.3375,2.4,3.3,0.1875,2.7375,1.4375,3.5125,0.3125,5.4875,0.7125,2.4375,0.7625,11,2.25,3.57,0.26,2.4615384615,0.8285714286,5.05,4.0214285714,1.6571428571,1.7428571429,0.8642857143,4.2285714286,1.4785714286,0.1,3.6142857143,0.1714285714,0.6571428571,3.2714285714,2.0928571429,0.4714285714,1.4357142857,3.4285714286,0.302,1.0928571429,3.1378571429,4.3928571429,0.1,1.9714285714,1.9125,11
11-09,1.9625,6.7375,0.625,1.725,1.825,2.95,3.3375,2.4125,3.3125,0.1875,2.7375,1.475,4.325,0.425,5.5,0.7375,3.1125,0.7625,12.37,2.25,3.57,0.27,2.4769230769,0.8285714286,5.7,4.0214285714,1.95,1.7428571429,0.8642857143,4.2357142857,1.4857142857,0.1,3.6142857143,0.1714285714,1.2785714286,3.2714285714,3.8357142857,0.5071428571,1.4571428571,3.4357142857,0.394,1.35,3.2960714286,4.56,0.1,2.0571428571,1.9625,12.37
11-10,1.975,6.7625,0.625,1.725,1.8375,3,3.35,2.425,3.3125,0.1875,2.7375,1.5125,4.45,0.425,5.9,0.775,3.7125,0.85,12.41,2.25,3.57,0.27,2.8076923077,0.8285714286,5.75,4.05,2.8714285714,1.7428571429,0.8642857143,4.3142857143,1.4857142857,0.1,3.6142857143,0.1714285714,1.5714285714,3.3,4.6214285714,0.5071428571,1.4571428571,3.4357142857,0.394,1.4685714286,3.335,4.8471428571,0.1,2.25,2.25,12.41
11-11,1.975,6.775,0.625,1.725,1.8375,3,3.4125,2.425,3.3625,0.1875,2.7375,1.625,4.5375,0.425,6.3375,0.7875,3.8125,1,12.44,2.25,3.58,0.28,2.8384615385,0.8285714286,5.8571428571,4.0642857143,3.0357142857,1.7428571429,0.8642857143,4.7,1.4857142857,0.1,3.6214285714,0.1714285714,1.6,3.3071428571,4.6214285714,0.5071428571,1.4642857143,3.4357142857,0.396,1.4728571429,3.3925,4.9314285714,0.1,2.2928571429,2.25,12.44
11-12,1.9875,6.7875,0.6375,1.725,1.8375,3.0125,3.4375,3.05,3.7,0.2,2.7375,2.175,4.725,0.425,6.4125,0.7875,3.85,1.0625,12.65,2.51,3.68,0.38,2.8538461538,0.8571428571,5.8571428571,4.1071428571,3.05,1.7428571429,0.8642857143,4.7428571429,1.4857142857,0.1,3.6214285714,0.1714285714,1.6214285714,3.3071428571,4.6285714286,0.5071428571,1.4857142857,3.4357142857,0.416,1.4857142857,3.5478571429,4.9657142857,0.1,2.3785714286,2.51,12.65
11-13,1.9875,6.85,0.65,1.7375,1.8375,3.025,3.4375,3.55,4.1625,0.2,2.7375,2.2375,4.75,0.425,6.4625,0.7875,3.875,1.575,12.74,2.51,3.68,0.4,2.8615384615,1.1142857143,5.8571428571,4.1214285714,3.0714285714,1.7428571429,0.8642857143,4.75,1.4857142857,0.1,3.6214285714,0.1714285714,1.6857142857,3.3071428571,4.6285714286,0.5214285714,1.6214285714,3.4428571429,0.42,1.5935714286,3.5928571429,4.9714285714,0.1,2.4428571429,2.51,12.74
