date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
10-22,1.3181818182,2.6,0.04,2.7272727273,3.1083333333,2.3083333333,2.7833333333,0.4166666667,1.1083333333,1.9166666667,0.3166666667,0.0583333333,0.2666666667,2.6916666667,2.725,0.1166666667,0.0583333333,1.3916666667,0.625,0.025,3.0333333333,0.7916666667,0.9166666667,0.75,1.1416666667,1.725,2.3583333333,0.3833333333,1.3214285714,0.1875,2.39375,1.6875,0.65625,0.5375,0.85625,3.10625,0.475,0,4.61875,0.04375,0.06,1.35,2.3875,0.175,0.8875,3.425,0.0583333333,0.4283333333,1.8783333333,2.7609090909,0,0.7,0.9166666667,4.61875
10-23,1.3181818182,2.61,0.04,2.7454545455,3.2416666667,2.3166666667,2.8,0.6083333333,1.1083333333,1.9416666667,0.325,0.1,0.3833333333,2.6916666667,2.775,0.1166666667,0.0916666667,1.6333333333,0.725,0.025,4.025,0.8,0.9583333333,0.75,1.2916666667,1.7333333333,2.3583333333,0.3916666667,1.3214285714,0.2,2.5125,1.6875,0.65625,0.54375,0.8625,3.15625,0.49375,0,4.61875,0.04375,0.06,1.35625,2.45,0.18125,0.89375,3.475,0.0726666667,0.50375,1.9,2.79,0,0.73125,0.9583333333,4.61875
10-24,1.3272727273,2.61,0.04,2.7636363636,3.2916666667,2.3333333333,2.825,0.8416666667,1.1083333333,1.9416666667,0.325,0.125,0.475,2.6916666667,2.8166666667,0.1166666667,0.125,1.725,0.75,0.025,4.9,0.8,0.9833333333,0.75,1.5833333333,1.7333333333,2.3833333333,0.4083333333,1.3285714286,0.2,2.525,1.6875,0.65625,0.55625,0.8625,3.175,0.49375,0,4.66875,0.04375,0.06,1.3625,2.74375,0.19375,0.9,3.48125,0.0826666667,0.50625,1.9,2.8216666667,0,0.75,0.9833333333,4.9
10-25,1.3272727273,2.61,0.04,2.8363636364,3.3416666667,2.3416666667,2.8333333333,1.1583333333,1.1083333333,1.9416666667,0.325,0.125,0.8,2.6916666667,2.8583333333,0.1166666667,0.1916666667,1.9333333333,0.8333333333,0.025,5.0916666667,0.8083333333,1,0.75,1.7833333333,1.7333333333,2.4083333333,0.425,1.3285714286,0.2,2.53125,1.725,0.65625,0.5625,0.8625,3.20625,0.61875,0,4.6875,0.04375,0.06,1.36875,2.76875,0.2375,0.9,3.4875,0.0826666667,0.62625,1.94,2.8495454545,0,0.825,1.1083333333,5.0916666667
10-26,1.3363636364,2.61,0.04,2.8454545455,3.3916666667,2.35,2.8333333333,1.1583333333,1.1083333333,2.0166666667,0.325,0.125,0.8583333333,2.6916666667,2.8666666667,0.1166666667,0.325,1.975,1.825,0.025,5.1083333333,0.8333333333,1.0833333333,0.7666666667,1.8583333333,1.7416666667,2.4083333333,0.425,1.3285714286,0.2,2.5375,1.79375,0.65625,0.5625,0.8625,3.2125,0.63125,0,4.6875,0.05,0.0866666667,1.41875,2.79375,0.2375,0.9,3.49375,0.0986666667,0.63625,2.0083333333,2.8581818182,0,0.9,1.1583333333,5.1083333333
10-27,1.4454545455,2.62,0.24,2.8636363636,3.4416666667,2.35,2.8333333333,1.1583333333,1.1083333333,2.025,0.325,0.1416666667,0.9416666667,2.775,2.8666666667,0.125,0.8083333333,2.0416666667,2.575,0.025,5.1166666667,0.9166666667,1.2,0.775,1.8916666667,1.75,2.4083333333,0.425,1.3285714286,0.2,2.5375,1.95625,0.65625,0.5625,0.8625,3.2125,0.6375,0,4.70625,0.05,0.18,1.51875,2.79375,0.2375,0.90625,3.49375,0.157,0.68,2.2883333333,2.8654545455,0,0.95625,1.2,5.1166666667
10-28,1.4818181818,2.62,0.27,2.8818181818,3.4416666667,2.35,2.8416666667,1.1583333333,1.1083333333,2.025,0.325,0.725,1.0333333333,2.8166666667,2.8916666667,0.1333333333,1.2083333333,2.1,2.6083333333,0.025,6.175,0.9333333333,1.3333333333,0.8083333333,2.05,1.7666666667,2.4333333333,0.425,1.3285714286,0.25,2.5375,1.96875,0.65625,0.5625,0.86875,3.21875,0.65,0,4.71875,0.05625,0.3066666667,1.54375,2.79375,0.2375,0.90625,3.49375,0.2425,0.7416666667,2.3,2.8877272727,0,1.04375,1.3285714286,6.175
10-29,1.4818181818,2.63,0.3,2.9090909091,3.4416666667,2.375,2.8416666667,1.2916666667,1.1083333333,2.025,0.325,0.7416666667,1.575,2.825,2.9166666667,0.1333333333,2.0083333333,2.125,2.675,0.025,6.375,0.9333333333,1.4333333333,0.8166666667,2.925,1.775,2.4416666667,0.425,1.3285714286,0.26875,2.54375,1.99375,0.6625,0.56875,0.86875,3.225,0.6625,0,4.7375,0.05625,0.3933333333,1.55,2.79375,0.2375,1.19375,3.50625,0.25,0.7566666667,2.4283333333,2.9216666667,0,1.11875,1.4818181818,6.375
10-30,1.5090909091,2.65,0.32,2.9272727273,3.45,2.4333333333,2.8666666667,2.15,1.1083333333,2.025,0.325,0.8416666667,1.625,2.825,2.9333333333,0.1333333333,2.075,2.125,2.7083333333,0.025,6.4166666667,0.9333333333,1.45,0.8166666667,2.9916666667,1.7916666667,2.4416666667,0.425,1.3285714286,0.3125,2.54375,2.00625,0.6625,0.63125,0.86875,3.5375,0.6625,0,4.7375,0.05625,0.4533333333,1.55,2.8,0.2375,1.31875,3.50625,0.2675,0.8216666667,2.44,2.9683333333,0,1.125,1.55,6.4166666667
10-31,1.5090909091,2.64,0.32,2.9272727273,3.45,2.4416666667,2.8833333333,2.15,1.1083333333,2.0416666667,0.325,1.1666666667,1.8416666667,2.8333333333,2.9416666667,0.1583333333,2.125,2.1916666667,2.8666666667,0.025,6.8833333333,0.9416666667,1.4833333333,0.8333333333,3,1.7916666667,2.4416666667,0.425,1.3285714286,0.40625,2.54375,2.00625,0.6625,0.64375,0.86875,3.61875,0.6625,0,4.83125,0.05625,0.4933333333,1.55,2.81875,0.275,1.34375,3.5125,0.293,0.8404166667,2.4416666667,2.9766666667,0,1.1625,1.55,6.8833333333
