date,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
10-21,1.9636363636,3.3878787879,2.1666666667,2.0448979592,0.806122449,0.5367346939,0.9232323232,2.238,0.0752475248,0.2811881188,2.7762376238,2.9423076923,0.8028571429,1.6180952381,1.9047619048,1.7747663551,0.2787037037,1.2357798165,0.9657657658,1.2678571429,0.5280701754,1.786440678,1.8584745763,3.8033898305,2.4675,1.3834710744,1.7396825397,1.5751937984,2.5786259542,0.8519083969,2.0816793893,0.886259542,1.3129770992,1.2480916031,1.0832061069,3.1335877863,0.8572519084,0.2755725191,2.3916030534,0.6885496183,1.334351145,1.3346153846,3.1213740458,0.5289366273,0.935992356,1.945974026,2.7564764568,0.0752475248,1.3674418605,1.3590432295,3.8033898305
10-22,1.9757575758,3.4696969697,2.2904761905,2.3673469388,0.8132653061,0.5387755102,1.0151515152,2.272,0.0782178218,0.302970297,2.797029703,2.9451923077,0.8447619048,1.6485714286,1.9171428571,1.9859813084,0.287037037,1.3412844037,1.0099099099,1.2839285714,0.5298245614,2.1228813559,1.8686440678,3.8576271186,2.6566666667,1.4801652893,1.8015873016,1.6576923077,2.5900763359,0.865648855,2.0938931298,0.9580152672,1.4022900763,1.2702290076,1.1030534351,3.1671755725,1.0320610687,0.279389313,2.4045801527,0.7061068702,1.3366412214,1.5169230769,3.1358778626,0.5307196563,1.0202243812,2.0615195834,2.7829933993,0.0782178218,1.4215384615,1.4985441831,3.8576271186
10-23,1.9863636364,3.5181818182,2.455952381,2.4571428571,0.8244897959,0.5408163265,1.0666666667,2.306,0.1693069307,0.3198019802,2.802970297,2.9480769231,1.1571428571,1.7028571429,1.9266666667,2.0710280374,0.2898148148,1.4862385321,1.0927927928,1.5258928571,0.5298245614,2.4042372881,1.8788135593,3.8898305085,2.7266666667,1.5388429752,1.8246031746,1.9450381679,2.5923664122,1.0091603053,2.0984732824,0.9969465649,1.7694656489,1.2839694656,1.120610687,3.2847328244,1.0992366412,0.2908396947,2.4152671756,0.9198473282,1.341221374,1.5269230769,3.1564885496,0.5309237379,1.105648855,2.0902397089,2.795339934,0.1693069307,1.5435114504,1.620850059,3.8898305085
10-24,2.0106060606,3.5666666667,2.5678571429,2.4918367347,0.8653061224,0.5459183673,1.0787878788,2.314,0.5356435644,0.3227722772,2.8089108911,2.9490384615,1.179047619,1.7323809524,2.1361904762,2.1663551402,0.2907407407,1.7743119266,1.1864864865,1.7660714286,0.5333333333,2.613559322,1.8855932203,3.9322033898,2.7383333333,1.5702479339,1.8484126984,2.2854961832,2.6,1.0664122137,2.1045801527,1.0190839695,1.834351145,1.2977099237,1.1229007634,3.379389313,1.2175572519,0.2992366412,2.5152671756,1.3633587786,1.3557251908,1.5384615385,3.3083969466,0.5366710447,1.1958077161,2.2497538703,2.8018531353,0.2907407407,1.6297709924,1.7701916776,3.9322033898
10-25,2.0424242424,3.6242424242,2.5833333333,2.4928571429,1.1602040816,0.5510204082,1.0878787879,2.317,0.804950495,0.3782178218,2.8128712871,2.9548076923,1.2028571429,1.9304761905,2.6257142857,2.1962616822,0.2907407407,1.9266055046,1.1900900901,1.9071428571,0.5350877193,2.7906779661,1.893220339,3.9644067797,2.7416666667,1.5727272727,1.996031746,2.7900763359,2.6229007634,1.1938931298,2.1160305344,1.0236641221,1.8496183206,1.4145038168,1.1236641221,3.3969465649,1.2404580153,0.3679389313,2.6221374046,1.4221374046,1.3625954198,1.5530769231,3.3351145038,0.5764134169,1.2141374046,2.4401,2.810651955,0.2907407407,1.7396946565,1.9001815981,3.9644067797
10-26,2.0666666667,3.653030303,2.5976190476,2.4969387755,1.2275510204,0.5540816327,1.2303030303,2.323,0.9475247525,0.5871287129,2.8237623762,2.9634615385,1.2333333333,2.4095238095,2.7104761905,2.6327102804,0.2962962963,1.9825688073,1.2198198198,1.9508928571,0.5377192982,3.0127118644,1.9025423729,4.2796610169,2.7425,1.579338843,2.0246031746,3.493129771,2.913740458,1.3465648855,2.1427480916,1.0389312977,1.9038167939,1.4541984733,1.1259541985,3.4076335878,1.2732824427,0.7419847328,2.7167938931,1.5282442748,1.3908396947,1.5730769231,3.3496183206,0.7625387348,1.2952671756,2.567414966,3.0077868318,0.2962962963,1.8603053435,1.9273548255,4.2796610169
10-27,2.0848484848,3.9106060606,2.6023809524,2.5071428571,1.2418367347,0.5540816327,1.4949494949,2.324,1.0702970297,0.6158415842,2.8752475248,2.9855769231,1.2952380952,2.599047619,2.7638095238,2.9037383178,0.2972222222,2.0256880734,1.2369369369,2.1178571429,0.5587719298,3.1389830508,1.9127118644,4.4677966102,2.7441666667,1.5809917355,2.0777777778,3.6900763359,3.1893129771,1.4145038168,2.1503816794,1.0916030534,1.9801526718,1.458778626,1.1297709924,3.4175572519,1.2961832061,0.8305343511,3.1557251908,1.7854961832,1.520610687,1.5815384615,3.4335877863,0.854510619,1.4277862595,2.6013809524,3.1859541985,0.2972222222,1.9152671756,2.0029203726,4.4677966102
10-28,2.0848484848,3.9848484848,2.6154761905,2.5193877551,1.262244898,0.5571428571,1.5616161616,2.326,1.4930693069,0.6742574257,2.8940594059,2.9913461538,1.2952380952,2.8847619048,2.8047619048,3.1990654206,0.2972222222,2.228440367,1.263963964,2.1910714286,0.5815789474,3.4855932203,2.0042372881,4.5169491525,2.7466666667,1.5917355372,2.2349206349,3.7305343511,3.2099236641,1.4717557252,2.1770992366,1.1305343511,2.0435114504,1.4938931298,1.1465648855,3.4236641221,1.3900763359,0.8908396947,3.2480916031,1.8625954198,1.5839694656,1.6,3.5503816794,0.9148091603,1.4933164538,2.7073095238,3.4061068702,0.2972222222,2.0007633588,2.0641799676,4.5169491525
10-29,2.0848484848,4.0590909091,2.6333333333,2.5428571429,1.2918367347,0.5591836735,1.6838383838,2.329,1.7455445545,0.9099009901,2.9762376238,3.0009615385,1.3114285714,3.4152380952,2.819047619,3.4448598131,0.4194444444,2.480733945,1.2774774775,2.3330357143,0.5894736842,3.9796610169,2.206779661,4.5262711864,2.75,1.594214876,2.5531746032,3.8076335878,3.2366412214,1.5038167939,2.3694656489,1.1465648855,2.0961832061,1.6045801527,1.1572519084,3.4259541985,1.5763358779,0.920610687,3.2633587786,1.8908396947,2.0114503817,1.7815384615,3.565648855,0.9432061069,1.597324459,2.715,3.4429692516,0.4194444444,2.1114503817,2.1514814336,4.5262711864
10-30,2.0939393939,4.1348484848,2.6392857143,2.5581632653,1.462244898,0.587755102,1.7242424242,2.333,1.9811881188,1.1613861386,3.0316831683,3.0086538462,1.3314285714,3.6419047619,2.8638095238,3.5700934579,0.5009259259,2.5247706422,1.2828828829,2.4589285714,0.6140350877,4.2033898305,2.3720338983,4.5347457627,2.7691666667,1.5958677686,2.6444444444,3.8450381679,3.2618320611,1.5053435115,2.6847328244,1.1717557252,2.2129770992,1.6312977099,1.1648854962,3.4312977099,1.7488549618,0.9236641221,3.2770992366,1.913740458,2.0427480916,2.3515384615,3.5870229008,1.1617360744,1.6591811242,2.743836514,3.6347236315,0.5009259259,2.2045801527,2.3422692308,4.5347457627
10-31,2.1560606061,4.1772727273,2.6738095238,2.712244898,1.6051020408,0.6020408163,1.7474747475,2.337,2.0881188119,1.8237623762,3.0663366337,3.0644230769,1.3952380952,3.6704761905,2.919047619,3.7775700935,0.525,2.7458715596,1.3963963964,2.6758928571,0.7403508772,4.2694915254,2.5245762712,4.5389830508,2.8341666667,1.5983471074,2.7682539683,3.972519084,3.2702290076,1.506870229,2.8259541985,1.1854961832,2.2595419847,1.6992366412,1.2122137405,3.5297709924,1.7908396947,0.9297709924,3.2870229008,1.913740458,2.0641221374,2.4861538462,3.5893129771,1.1881679389,1.7604842316,2.8317029262,3.7668607032,0.525,2.2824427481,2.4115769231,4.5389830508
11-01,2.2060606061,4.253030303,2.7357142857,3.2020408163,1.7193877551,0.6142857143,1.8171717172,2.403,2.1485148515,2.2108910891,3.0861386139,3.0980769231,1.6161904762,3.780952381,3.0285714286,3.808411215,0.5277777778,3.0917431193,1.5828828829,2.81875,0.8763157895,4.4788135593,2.5974576271,4.5457627119,2.855,1.6132231405,2.7761904762,4.0305343511,3.2977099237,1.5083969466,2.9603053435,1.2160305344,2.2954198473,1.786259542,1.3007633588,3.5748091603,1.8755725191,0.9335877863,3.3358778626,1.927480916,2.0916030534,2.5358778626,3.5984732824,1.2245038168,1.8346919577,3.0688684583,3.8056653316,0.5277777778,2.3847328244,2.4694389313,4.5457627119
11-02,2.2378787879,4.2833333333,2.7738095238,3.5479591837,2.0102040816,0.6234693878,1.8444444444,2.605,2.399009901,2.5762376238,3.104950495,3.1317307692,1.8580952381,3.8019047619,3.0466666667,3.8570093458,0.5277777778,3.3155963303,1.6081081081,2.8767857143,1.0903508772,4.5144067797,2.6245762712,4.5593220339,2.8608333333,1.6314049587,2.7801587302,4.0496183206,3.4778625954,1.5099236641,3.0198473282,1.3198473282,2.3312977099,1.8427480916,1.3473282443,3.679389313,1.8877862595,0.9389312977,3.4427480916,1.9549618321,2.1099236641,2.58,3.6091603053,1.3225954198,1.9079389313,3.0874653465,3.8514988874,0.5277777778,2.4633587786,2.5925,4.5593220339
11-03,2.2772727273,4.3545454545,2.7976190476,3.5775510204,2.1724489796,0.6744897959,1.8646464646,2.917,2.4920792079,3.2732673267,3.1178217822,3.2346153846,1.8838095238,3.8333333333,3.0514285714,4.0738317757,0.5435185185,3.3532110092,1.6225225225,2.9633928571,1.4447368421,4.6220338983,2.656779661,4.5940677966,2.865,1.873553719,2.780952381,4.0709923664,3.5404580153,1.5114503817,3.058778626,1.5641221374,2.3572519084,1.8549618321,1.3770992366,3.8221374046,1.9106870229,0.9496183206,3.6641221374,2.134351145,2.1541984733,2.6438461538,3.6160305344,1.4514081961,1.9777862595,3.1995773039,4.0472264631,0.5435185185,2.5709923664,2.718866021,4.6220338983
11-04,2.296969697,4.4454545455,2.805952381,3.5928571429,2.2316326531,1.0102040816,1.896969697,3.006,2.5782178218,3.3712871287,3.1405940594,3.6,1.9047619048,4.0514285714,3.0857142857,4.161682243,0.5518518519,3.4009174312,1.627027027,3.0089285714,1.7798245614,4.6533898305,2.6830508475,4.6127118644,2.8741666667,1.932231405,2.7873015873,4.0740458015,3.6038167939,1.5129770992,3.1458015267,1.693129771,2.4305343511,1.8763358779,1.4526717557,3.9534351145,1.9290076336,0.9511450382,3.686259542,2.5977099237,2.1572519084,2.8461538462,3.620610687,1.524382092,1.999737556,3.3036414481,4.0717840785,0.5518518519,2.6442748092,2.7966269841,4.6533898305
11-05,2.3045454545,4.4727272727,2.8607142857,3.6030612245,2.2704081633,1.1265306122,1.9383838384,3.106,2.7059405941,3.4455445545,3.2524752475,3.65,1.9133333333,4.140952381,3.0876190476,4.1897196262,0.5611111111,3.5366972477,1.6387387387,3.0401785714,1.8692982456,4.6652542373,2.8127118644,4.6449152542,2.8841666667,2.2669421488,2.7896825397,4.0778625954,3.727480916,1.5160305344,3.241221374,1.7389312977,2.8190839695,1.9267175573,1.7114503817,4.2839694656,1.9312977099,0.9549618321,3.6954198473,2.6961832061,2.1595419847,2.9061538462,3.6244274809,1.646009903,2.1917620339,3.3876237624,4.1848429016,0.5611111111,2.7305343511,2.8398991276,4.6652542373
11-06,2.3560606061,4.5075757576,3.0071428571,3.643877551,2.6224489796,1.1448979592,1.9878787879,3.52,2.8544554455,3.5198019802,3.3,3.725,1.9714285714,4.380952381,3.0933333333,4.3056074766,0.5611111111,3.7678899083,1.654954955,3.0705357143,1.9710526316,4.6788135593,2.9627118644,4.6754237288,2.8841666667,2.458677686,2.796031746,4.0847328244,4.0854961832,1.5221374046,3.2984732824,1.7641221374,2.9549618321,1.9847328244,1.8885496183,4.3618320611,1.9328244275,0.9625954198,3.7007633588,2.9633587786,2.1832061069,3.1884615385,3.6312977099,1.6658716732,2.2350624566,3.5199405941,4.3562096026,0.5611111111,2.8099236641,2.9630353215,4.6788135593
11-07,2.3757575758,4.5393939394,3.0952380952,3.9887755102,2.9112244898,1.1734693878,2.0707070707,3.665,3.1118811881,3.5653465347,3.3198019802,3.775,2.0123809524,4.4304761905,3.1,4.4803738318,0.5657407407,3.8073394495,1.7144144144,3.0973214286,2.050877193,4.6889830508,3.063559322,4.7152542373,2.8883333333,2.4991735537,2.7968253968,4.0908396947,4.1610687023,1.5251908397,3.3954198473,1.7755725191,3.0664122137,1.9870229008,1.9778625954,4.3992366412,1.934351145,0.9908396947,3.7045801527,3.0603053435,2.2175572519,3.3092307692,3.6679389313,1.7205302249,2.2650173491,3.6351039604,4.4273522356,0.5657407407,2.8625954198,3.0808251545,4.7152542373
11-08,2.6590909091,4.6151515152,3.3773809524,4.25,3.0408163265,1.2071428571,2.1323232323,3.734,3.1485148515,3.6554455446,3.3237623762,3.7971153846,2.0628571429,4.4952380952,3.1028571429,4.5887850467,0.5685185185,3.8458715596,1.8108108108,3.1928571429,2.1543859649,4.8050847458,3.0991525424,4.7186440678,2.8933333333,2.6132231405,2.7976190476,4.0969465649,4.2366412214,1.5282442748,3.4427480916,1.7816793893,3.1145038168,1.9916030534,2.058778626,4.4244274809,1.9351145038,1.5496183206,3.7106870229,3.1169230769,2.2740458015,3.4276923077,3.6870229008,1.7845925315,2.3757990032,3.6941145794,4.4881570338,0.5685185185,2.9038167939,3.1157134469,4.8050847458
