date,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-31,0.6625,0.375,0,0.225,0,1.45,0.825,0.075,0.15,0,1.3625,0.1875,1.05,0,2.1375,0.05,0.3,0.0375,3.87,0.06,0.23,0,0,0.3428571429,0.0071428571,0,0,0.7214285714,0,0.0071428571,0,0,0.1214285714,0,0,0.1214285714,0.2285714286,0,0.15,0,0,0,0.2294285714,1.1125,0,0.0285714286,0.075,3.87,
11-01,0.775,0.4125,0,0.225,0,1.45,0.725,0.075,0.15,0,1.8,0.1875,1.025,0,2.4125,0.025,0.2875,0.0875,3.84,0.06,0.23,0,0,0.3285714286,0.0071428571,0,0,0.6857142857,0,0,0,0,0.1071428571,0,0,0.1,0.2214285714,0,0.1142857143,0,0,0,0.228,1.11,0,0.0285714286,0.0875,3.84,
11-02,0.8375,0.475,0,0.225,0.05,1.45,0.675,0.075,0.15,0.0125,1.7625,0.1875,1.1,0,2.4125,0,0.25,0.1375,3.84,0.06,0.23,0,0,0.3142857143,0,0,0,0.6285714286,0.2571428571,0,0,0,0.1285714286,0,0,0.0857142857,0.2214285714,0,0.0642857143,0,0,0,0.242,1.17,0,0.0428571429,0.0857142857,3.84,
11-03,0.85,0.725,0,0.225,0.1125,1.45,0.7125,0.075,0.6,0.0375,1.7625,0.1875,1.1,0,2.4,0,0.2375,0.1875,3.81,0.06,0.23,0,0.0615384615,0.2857142857,0,0,0,0.5857142857,0.5428571429,0.0571428571,0,0,0.1357142857,0,0,0.0714285714,0.5285714286,0,0.1285714286,0,0,0.015,0.4314285714,1.17,0,0.0428571429,0.1285714286,3.81,
11-04,0.8375,0.8375,0,0.225,0.1375,1.45,0.7375,0.075,0.7125,0.05,1.8,0.1875,1.1,0,2.3875,0,0.2375,0.325,3.81,0.06,0.23,0,0.0615384615,0.2571428571,0,0,0,0.5642857143,0.5,0.1428571429,0,0,0.1285714286,0,0,0.0571428571,0.7785714286,0,0.2357142857,0,0,0.02,0.43,1.17,0,0.0571428571,0.1428571429,3.81,
11-05,0.8125,0.975,0,0.225,0.075,1.4125,0.725,0.075,0.725,0.05,1.775,0.1875,1.1,0,2.375,0,0.2375,0.3125,3.79,0.06,0.23,0,0.1384615385,0.2357142857,0,0.3357142857,0,0.6142857143,0.4785714286,0.4571428571,0,0,0.1214285714,0,0,0.05,0.7785714286,0,0.2285714286,0,0,0.05,0.47,1.1625,0,0.0928571429,0.225,3.79,
11-06,0.7875,1.225,0,0.225,0.1375,1.35,0.725,0.075,0.7125,0.05,1.7,0.1875,1.1,0,2.375,0,0.25,0.3125,3.68,0.06,0.23,0,0.1384615385,0.1857142857,0,0.35,0,0.6214285714,0.4142857143,0.3857142857,0,0,0.1142857143,0,0,0.0428571429,0.7357142857,0,0.2357142857,0,0,0.0457142857,0.4028571429,1.25,0,0.1,0.1875,3.68,
11-07,0.775,1.7125,0,0.225,0.175,1.2125,0.725,0.075,0.6125,0.0375,1.6,0.2125,1.1125,0,2.375,0,0.2375,0.3375,3.63,0.06,0.23,0,0.1461538462,0.1357142857,0.0071428571,0.6642857143,0,0.6142857143,0.3071428571,0.3428571429,0,0,0.1142857143,0,0.0071428571,0.0285714286,0.7,0,0.25,0,0,0.0321428571,0.5046428571,1.29,0,0.0857142857,0.2125,3.63,
11-08,0.775,1.6875,0,0.225,0.1625,1.075,0.7,0.075,0.525,0.0375,1.5875,0.2125,1.15,0,2.3625,0.025,0.225,0.3375,3.68,0.06,0.23,0,0.1461538462,0.1357142857,0.0071428571,0.7857142857,0,0.6071428571,0.2928571429,0.35,0,0,0.1142857143,0,0.3071428571,0.0285714286,0.6142857143,0.0785714286,0.25,0,0,0.066,0.455,1.2375,0,0.0928571429,0.225,3.68,
11-09,0.775,1.7,0,0.2125,0.1375,1,0.7,0.075,0.525,0.0375,1.5375,0.225,2,0.025,2.3875,0.025,0.675,0.3375,4.08,0.06,0.23,0,0.1615384615,0.1357142857,0.3428571429,0.7428571429,0.2071428571,0.5928571429,0.2714285714,0.3428571429,0,0,0.1142857143,0,0.8214285714,0.0214285714,1.6285714286,0.1071428571,0.25,0,0,0.11,0.6421428571,1.6428571429,0,0.1357142857,0.23,4.08,
11-10,0.8,1.7,0,0.175,0.125,0.975,0.7,0.075,0.525,0.0375,1.5375,0.2375,2.1125,0.0625,2.8,0.0125,0.8125,0.4,4.09,0.06,0.23,0,0.4538461538,0.1357142857,0.35,0.7357142857,0.7857142857,0.5642857143,0.2642857143,0.4071428571,0,0,0.1142857143,0,1.0214285714,0.0214285714,2.1785714286,0.0928571429,0.2357142857,0,0,0.1014285714,0.7214285714,1.7825,0,0.1928571429,0.2642857143,4.09,
11-11,0.7875,1.7,0,0.1625,0.125,0.8875,0.75,0.075,0.575,0.0375,1.5,0.3875,2.175,0.05,3.2375,0.025,0.85,0.5375,4.07,0.06,0.23,0,0.4692307692,0.1357142857,0.4428571429,0.7214285714,0.9142857143,0.5357142857,0.2428571429,0.8428571429,0,0,0.1142857143,0,1.0285714286,0.0214285714,2.1714285714,0.0785714286,0.2285714286,0,0,0.0928571429,0.7725,1.7942857143,0,0.2071428571,0.3875,4.07,
11-12,0.7625,1.7375,0,0.1625,0.125,0.8,0.75,0.7125,0.7875,0.0375,1.475,0.9,2.375,0.05,3.275,0.0125,0.8625,0.5375,4.17,0.18,0.28,0.03,0.4846153846,0.1285714286,0.4714285714,0.7357142857,0.9428571429,0.5071428571,0.2357142857,0.85,0,0,0.1142857143,0,1.0357142857,0.0214285714,2.1785714286,0.0714285714,0.2142857143,0,0.01,0.1264285714,0.795,1.8257142857,0,0.2428571429,0.4846153846,4.17,
11-13,0.75,1.7375,0,0.15,0.125,0.7875,0.7125,1.1625,1.1375,0.0375,1.35,0.9375,2.35,0.05,3.2875,0.0125,0.8625,1.1625,4.26,0.18,0.28,0.03,0.4615384615,0.3142857143,0.4571428571,0.7214285714,0.9428571429,0.4714285714,0.2357142857,0.8142857143,0,0,0.1142857143,0,1.0071428571,0.0214285714,2.1785714286,0.0357142857,0.3714285714,0,0.01,0.135,0.9075,1.8257142857,0,0.3071428571,0.4615384615,4.26,
11-14,0.7375,2.125,0,0.1375,0.0875,0.7875,0.6875,1.2,1.1875,0.0375,1.3375,0.95,2.35,0.05,3.3,0.2875,0.875,1.3375,4.33,0.19,0.29,0.03,0.4153846154,0.5071428571,0.4857142857,0.7142857143,0.9142857143,0.45,0.2714285714,0.8071428571,0,0,0.1142857143,0,1.0142857143,0.0214285714,2.2214285714,0.0285714286,0.3785714286,0,0.0171428571,0.1585,0.8985714286,2.1442857143,0,0.35,0.4857142857,4.33,
11-15,0.75,2.725,0.4,0.1375,0.0625,1.2125,0.6625,1.225,1.2125,0.0375,1.325,0.9375,2.3,0.05,3.3,0.225,0.875,1.3375,4.34,0.19,0.31,0.02,0.3538461538,0.5285714286,0.5214285714,0.7071428571,0.9,0.4714285714,0.3071428571,0.8071428571,0,0,0.1142857143,0,0.9285714286,0.0142857143,2.2214285714,0.0142857143,0.3785714286,0,0.0142857143,0.204,0.9171428571,2.2371428571,0,0.3642857143,0.5214285714,4.34,
11-16,0.75,2.7625,0.4375,0.1375,0.05,1.7,0.625,1.2,1.3375,0.0375,1.5125,1,2.2125,0.025,3.3,0.225,0.875,1.35,4.32,0.19,0.33,0,0.3461538462,0.5357142857,0.4857142857,0.7071428571,0.8857142857,0.4714285714,0.3785714286,1.25,0,0,0.1142857143,0,0.9,0.0142857143,2.2142857143,0,0.4571428571,0.0714285714,0,0.204,0.96,2.2128571429,0,0.3714285714,0.4857142857,4.32,
11-17,0.7625,2.75,0.4875,0.1375,0.0375,1.725,0.6375,1.2,1.475,0.0375,1.525,0.9875,2.175,0.0125,3.3,0.225,0.875,1.4375,4.34,0.19,0.33,0,0.3384615385,0.5357142857,0.4357142857,0.6857142857,0.9928571429,0.4785714286,0.3928571429,1.6428571429,0.05,0,0.1214285714,0,0.8285714286,0.0142857143,2.2,0.0285714286,0.4642857143,0.8714285714,0.0139285714,0.204,0.9907142857,2.18,0,0.3714285714,0.4875,4.34,
11-18,0.775,2.7,0.55,0.1375,0.0125,2.0375,0.6375,1.15,1.8375,0.0375,1.6625,0.9875,2.05,0.025,3.3,0.225,0.875,1.425,4.36,0.19,0.33,0,0.3307692308,0.5357142857,0.4071428571,0.6785714286,1.0428571429,0.4714285714,0.3642857143,1.6785714286,0.1642857143,0.0571428571,0.1214285714,0,0.7714285714,0.0071428571,2.1928571429,0.0285714286,0.4714285714,0.9428571429,0.0225,0.204,1.0207142857,2.0785714286,0,0.3857142857,0.5357142857,4.36,
11-19,0.9,2.6125,0.575,0.1375,0,2.175,0.6375,1.15,2.8125,0.0375,1.675,0.9875,2,0.05,3.3,0.225,0.8625,1.425,4.35,0.19,0.33,0,0.3153846154,0.5285714286,0.4,0.6714285714,1.0142857143,0.45,0.35,1.6285714286,0.1714285714,0.0571428571,0.1214285714,0.0214285714,0.6285714286,0.0142857143,2.1928571429,0.0285714286,0.4714285714,1.3214285714,0.0271428571,0.204,1.0035714286,2.2767857143,0,0.3785714286,0.5285714286,4.35,
11-20,0.9,2.5875,0.5875,0.1375,0.35,2.2,0.7375,1.125,3.025,0.0375,1.65,0.9875,1.925,0.05,3.3125,0.225,0.875,1.35,4.34,0.19,0.33,0,0.3076923077,0.5214285714,0.4,0.65,0.9857142857,0.45,0.3428571429,1.5928571429,0.1642857143,0.0285714286,0.1214285714,0.2714285714,0.5571428571,0.0142857143,2.1857142857,0.3857142857,0.45,1.5428571429,0.0475,0.3166153846,0.9867857143,2.2775,0,0.4142857143,0.5214285714,4.34,
11-21,0.9,2.5875,0.5375,0.1375,1.075,2.225,0.85,1.0875,3.0625,0.0375,1.575,0.975,1.925,0.05,3.2875,0.225,0.875,1.325,4.34,0.19,0.33,0,0.3,0.5214285714,1.2714285714,0.7142857143,0.9714285714,0.5428571429,0.3428571429,1.5428571429,0.1428571429,0.0285714286,0.1214285714,1.1285714286,0.4642857143,0.0142857143,2.1857142857,0.3785714286,0.4714285714,1.5785714286,0.0475,0.3351428571,1.1121428571,2.2975,0,0.5285714286,0.7142857143,4.34,
11-22,0.8875,2.5875,0.575,0.1375,1.075,2.2,0.85,1.075,3.1,0.0375,1.85,0.975,1.925,0.3875,3.275,0.225,0.8375,1.3,5.07,0.19,0.33,0,0.3,0.5142857143,2.0714285714,0.9071428571,0.9714285714,1.1642857143,0.3428571429,1.5285714286,0.65,0.0214285714,0.1214285714,1.2428571429,0.45,0.0142857143,2.1928571429,0.3642857143,0.4714285714,1.6142857143,0.1046428571,0.3735714286,1.2114285714,2.2775,0,0.6428571429,0.85,5.07,
