date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-30,0.0636363636,0,0,0,0,0,0.0333333333,0,0,0,0,0.125,0,0,0.0692307692,0,1.6923076923,0.0538461538,0.0230769231,0,0.4857142857,0,0.0857142857,0,0.2928571429,0,0,0,0.0125,0.0333333333,0.0166666667,0.0111111111,0,0.0611111111,0,0,0,0,0,0,0.0117647059,0.0333333333,0.0111111111,0,0.0222222222,0,0,0,0.0211111111,0.0791208791,0,0,0,1.6923076923,
10-31,0.0636363636,0,0,0,0,0,0.0416666667,0,0,0,0,0.2916666667,0,0,0.0692307692,0.0153846154,1.6153846154,0.0538461538,0.0615384615,0,0.7928571429,0,0.0428571429,0,0.2571428571,0,0,0,0.0125,0.0555555556,0.0111111111,0,0,0.05,0,0,0,0,0.0888888889,0,0.0117647059,0.0333333333,0.0111111111,0,0.0277777778,0,0,0,0.0322222222,0.081025641,0,0,0,1.6153846154,
11-01,0.0363636364,0,0,0,0,0,0,0,0,0,0,0.2666666667,0,0,0.0692307692,0.0153846154,1.5153846154,0.0384615385,0.0384615385,0,0.7357142857,0,0.0071428571,0,0.2642857143,0,0,0,0.0125,0.0333333333,0.0111111111,0,0,0.0611111111,0,0,0,0,0.0777777778,0,0,0.0333333333,0.0111111111,0.0055555556,0.0277777778,0,0,0,0.0148076923,0.0743589744,0,0,0,1.5153846154,
11-02,0.0272727273,0,0,0,0,0,0.2916666667,0,0,0,0.025,0.2416666667,0,0,0.0692307692,0.0615384615,1.4538461538,0.0153846154,0.0230769231,0,0.6642857143,0,0.0142857143,0,0.2285714286,0,0,0,0.025,0.0277777778,0.0111111111,0.0111111111,0,0.05,0.0055555556,0,0,0,0.0611111111,0,0,0.0444444444,0.0166666667,0.0055555556,0.0111111111,0,0,0,0.0246153846,0.1648351648,0,0,0.0055555556,1.4538461538,
11-03,0.0181818182,0,0,0.0090909091,0,0,0.6,0.025,0,0,0.1083333333,0.2416666667,0,0,0.1,0.0384615385,1.4,0.0153846154,0.0153846154,0,0.6214285714,0,0.0071428571,0,0.2357142857,0,0,0,0.025,0.0111111111,0.0111111111,0.0055555556,0,0.0722222222,0.0111111111,0,0,0,0.0611111111,0,0,0.0388888889,0.0277777778,0.0055555556,0.0444444444,0,0,0,0.025,0.1847619048,0,0,0.0071428571,1.4,
11-04,0.0090909091,0.03,0,0.0090909091,0,0,0.6416666667,0.025,0,0,0.1083333333,0.2,0,0,0.3615384615,0.0230769231,1.3384615385,0.0230769231,0.0230769231,0,0.7428571429,0,0.0214285714,0,0.2071428571,0,0,0,0.03125,0.0111111111,0.0111111111,0.0277777778,0,0.0666666667,0.0111111111,0.1388888889,0,0,0.05,0,0,0.05,0.4555555556,0.0055555556,0.3722222222,0,0,0,0.031,0.3679487179,0,0,0.0111111111,1.3384615385,
11-05,0,0,0,0.0090909091,0,0,0.6416666667,0.0166666667,0,0,0.0833333333,0.1333333333,0,0,0.4230769231,0.0307692308,1.2384615385,0.0076923077,0.0230769231,0,1.1571428571,0,0.0071428571,0,0.2071428571,0,0,0,0.01875,0.0111111111,0.0111111111,0.2666666667,0,0.0777777778,0.0111111111,0.8444444444,0,0,0.0277777778,0,0,0.0333333333,0.4222222222,0.0055555556,0.3166666667,0,0,0,0.0301709402,0.4227350427,0,0,0.0076923077,1.2384615385,
11-06,0,0,0,0.0090909091,0,0,0.625,0.0166666667,0,0,0.075,0.075,0,0,0.3307692308,0.0384615385,1.1923076923,0.0076923077,0.0230769231,0,1.1,0.0142857143,0,0,0.1928571429,0,0,0,0.0125,0.0111111111,0.0055555556,0.6833333333,0,0.0333333333,0.0111111111,0.7111111111,0,0,0.0222222222,0,0.0058823529,0.0388888889,0.3722222222,0.0055555556,0.2722222222,0,0,0,0.0312820513,0.5238888889,0,0,0.0076923077,1.1923076923,
11-07,0,0,0,0.0181818182,0,0,0.9,0.0166666667,0,0,0.125,0.0333333333,0,0,0.2153846154,0.1,1.1230769231,0,0.0461538462,0.0071428571,1.4357142857,0.0142857143,0.0142857143,0,0.2214285714,0,0,0,0.0125,0.0111111111,0.0111111111,0.6555555556,0,0.0111111111,0.0111111111,0.6722222222,0,0,0.0111111111,0,0.0117647059,0.0055555556,0.2833333333,0.0055555556,0.2611111111,0,0,0,0.0178787879,0.5066666667,0,0,0.0111111111,1.4357142857,
11-08,0,0,0,0.0181818182,0,0,0.875,0.0166666667,0,0,0.2416666667,0.0083333333,0,0,0.2307692308,0.1,1.0692307692,0,0.0692307692,0.0071428571,1.4071428571,0.0071428571,0.0714285714,0,0.2214285714,0,0,0,0.00625,0.0111111111,0.0111111111,1.1222222222,0.0111111111,0.0055555556,0.0111111111,0.6166666667,0,0,0.0111111111,0,0.0705882353,0.0055555556,0.1944444444,0.0055555556,0.2333333333,0,0,0,0.059020979,0.4666666667,0,0,0.0071428571,1.4071428571,
